factor,label,exp1_score,rank_icir,rank_ic_mean,ret_diff,win_diff,monotonicity,rank_ic_positive_ratio
mean_ret_ma3,s,3.1424868077952572,6.499701904441975,0.0376728242583392,0.0033063067,0.0435921018509438,u_shape,0.5960743801652892
inflow_r_ma5,s,3.1416741766694645,6.085595864914173,0.0363310874277569,0.0037375935,0.0162560691105149,weak_ascending,0.5919421487603306
amt_peak_ma3,b,3.1286027487483534,5.748653880551988,0.0273213062675948,0.0013267084,0.0366752966251914,u_shape,0.5867768595041323
ex_ret_ma2,s,3.0943742892901787,6.39287702436906,0.0366217697621222,0.0018995287,0.034363728194254,u_shape,0.600206611570248
ex_ret_ma3,s,3.0877541222347045,6.44316258710494,0.0373568676523622,0.0023658117,0.0398168705240261,u_shape,0.600206611570248
mean_ret_ma2,s,3.033787333653669,6.438946470968202,0.0371487660901607,0.00070341886,0.0214997487268592,u_shape,0.597107438016529
vwat_ma60,s,3.026467577536855,5.333861949166813,0.0269712985163821,0.0028791882,0.0325462258899393,ascending,0.5733471074380165
cora1_ma60,s,3.014845649144833,5.292823797862068,0.0284166876876259,0.002846182,0.0212199453705758,u_shape,0.5743801652892562
r_925_1500_ma3,s,3.00975871892783,5.685319760708964,0.0316877110840136,0.0035439502,0.039817090476005,weak_ascending,0.5795454545454546
amt_std_ma1,s,3.008794370444,5.30440024920772,0.0270965202380725,0.0031121243,0.049935317397554,weak_ascending,0.5604963805584282
ret_skew_ma1,s,2.9856701064915128,5.509577426373228,0.0274808498155723,0.00011048303,0.0299661584807617,inverted_u,0.564632885211996
inflow_r_ma3,s,2.9579354101548905,5.769632002205478,0.0330926488171253,0.004366923,0.0171646760719305,none,0.5878099173553719
r_925_1500_ma2,s,2.937752531782541,5.705332077250246,0.0317230752435178,0.0012938445,0.0233177398133493,u_shape,0.5712809917355373
highest_ret_ma1,s,2.924055445862503,5.603333618140928,0.0303530725460588,0.0006575773,0.0498264293644272,u_shape,0.5698035160289555
corr_mean2_ma20,s,2.919515933772459,4.949228091452235,0.0261120760431779,0.002464071,0.0278660732916171,ascending,0.5584281282316443
amt_skew_ma2,s,2.9182220301058117,5.100287958437916,0.0256072448724012,0.0028885682,0.0342939789778305,weak_ascending,0.5723140495867769
ret_std_ma2,s,2.8904425391975925,6.174919794685253,0.0327830604976742,-0.00091472175,0.014159056719222,u_shape,0.5805785123966942
mean_ret_ma10,s,2.8732007226184026,5.828329302581147,0.0329552738697422,0.00410354,0.0521911195786431,weak_ascending,0.59400826446281
ex_ret_ma10,s,2.8713950333628246,6.100154540792908,0.0346662454320918,0.0014772711,0.0268830049811987,weak_ascending,0.6022727272727273
highest_ret_ma3,s,2.8415382232138118,5.865425949165684,0.0348193995304688,0.0022380385,0.042124093465475,u_shape,0.5929752066115703
ret_std_down_ma3,s,2.83931664340212,5.144787561137855,0.0384918295397639,0.0032016565,0.0183961616287,weak_ascending,0.5865921787709497
highest_ret_ma5,s,2.8381823865503297,6.0413785036714245,0.0358545577508635,0.0015182178,0.0357621388857737,u_shape,0.5888429752066116
amt_r_1000_ma5,s,2.838104799146031,5.439816790223534,0.0270306898005746,0.0010928902,0.0082169953550834,u_shape,0.5795454545454546
amt_r_1430_ma20,s,2.8195160132645207,4.690067352476644,0.0246403495597207,0.0031452782,0.0435929132293548,ascending,0.5743801652892562
inflow_r_ma10,s,2.7742391026274342,5.450331540933671,0.0332216256649103,0.0034624594,0.0059787982324385,weak_ascending,0.5723140495867769
vwap_ret2_ma5,s,2.764986145257984,5.5997015766507525,0.0318434251566499,0.0030436316,0.0550575728703838,u_shape,0.5702479338842975
ret_skew_ma3,s,2.7533535925508104,5.123954346764776,0.0255940233397835,0.0014140761,0.0410060580053839,u_shape,0.5795454545454546
r_1445_1500_ma2,s,2.7362931564907607,4.397937130297358,0.0183991083824684,0.0032847372,0.0226820714092194,inverted_u,0.5402892561983471
r_925_1500_ma10,s,2.6790985623472694,5.18688431946761,0.0288117713303995,0.004452499,0.0496746734270324,weak_ascending,0.5754132231404959
r_1445_1500_ma5,s,2.6618513899688123,4.09712273458716,0.0185216154349924,0.0045655095,0.0335251588307454,weak_ascending,0.546487603305785
inflow_r_ma2,s,2.625684289555375,5.136541592533899,0.0285329457772427,0.0030564212,0.0098238178783537,u_shape,0.5547520661157025
ret_skew_ma60,s,2.611992053115863,5.198488039664136,0.0254068208973207,0.0014209491,0.0290500109800027,u_shape,0.5681818181818181
cora_1_ma2,s,2.5435902733344102,4.23877987668368,0.0241776390351751,0.002270771,0.0196023208129804,weak_ascending,0.5685714285714286
ret_kurt_ma10,b,2.5229983675212924,-5.066817136073463,-0.0240704437387316,0.0019003656,0.0087028546130323,u_shape,0.4359504132231405
ret_std_down_ma5,s,2.5088869513654695,4.744065885746886,0.0341089022752107,0.001462266,-0.0053649202980653,weak_ascending,0.5890652557319225
inflow_r_ma1,s,2.483961194748648,4.726966435355438,0.0241712662401398,0.0033587376,0.0103097706043575,none,0.5770423991726992
r_1445_1500_ma10,s,2.4746662873123477,3.831323881638644,0.0173036706684648,0.0038505895,0.0255551597723354,ascending,0.5526859504132232
highest_ret_ma2,s,2.429184623867969,4.94676629341962,0.0293156122481999,0.00047952053,0.0346432333934105,u_shape,0.5847107438016529
