factor,direction,comprehensive_score,rankic_ir,ic_ir,long_short_ret,monotonicity,mono_strength,rankic_positive_ratio
r_925_1500_ma1,sell,0.5251687526936873,0.1971791328046628,-0.0159404799342155,0.0029107085429131,strict_ascending,1.0,0.5824742268041236
inflow_r_ma20,sell,0.5239052303572254,0.1461319845296932,0.1756012737751007,0.0027594226412475,none,0.0,0.5731958762886598
ret_std_ma60,buy,0.5226095132153185,0.0914634547934983,0.2420761436223983,0.0024197904858738,none,0.0,0.5391752577319587
ret_auto_corr_ma60,buy,0.5193731990801104,0.0726391567957042,0.1885547935962677,0.0031153401359915,none,0.0,0.5515463917525774
mean_ret_ma5,sell,0.5172836441507513,0.2335809049071131,-0.1583995670080185,0.0045336261391639,ascending,0.8043438665264178,0.6
cora_1_ma1,sell,0.5146161059289461,0.1933762354796994,0.1722077876329422,0.0027218002360314,none,0.0,0.5587628865979382
vwap_twap_ma3,buy,0.5122770956700757,0.2377147744925573,0.1278743743896484,0.002658815588802,none,0.0,0.5896907216494846
cora_ma60,sell,0.5111429152401223,0.1698409819324785,-0.010676278732717,0.0028780573047697,strict_ascending,1.0,0.5731958762886598
price_beta_ma10,sell,0.5094064041415145,0.1083569571938639,-0.0344545394182205,0.0036816601641476,ascending,0.7825025165795743,0.5422680412371135
lowest_ret_ma2,buy,0.5087688082467099,0.1251790251011459,0.2220958471298217,0.0024835807271301,none,0.0,0.5402061855670103
amt_mean_ma3,sell,0.5020009441357369,0.1208626560247928,0.0018559521995484,0.003043207572773,strict_ascending,1.0,0.5515463917525774
r_1445_1500_ma5,sell,0.4949715096799951,0.1339841848597144,0.108665183186531,0.0045781112276017,none,0.0,0.5474226804123712
vwap_ret_ma20,sell,0.4949669908357225,0.2775138888345181,-0.096870519220829,0.0037326666060835,none,0.0,0.6268041237113402
mean_ret_ma1,sell,0.4946645993985197,0.3334479690640101,-0.1058566942811012,0.0020193336531519,none,0.0,0.6443298969072164
vwap_twap_ma5,buy,0.4936161524672978,0.203712860807166,0.1163397207856178,0.002330946503207,none,0.0,0.6030927835051546
amt_skew_ma2,sell,0.49316829109424665,0.1648614324508932,0.0275593120604753,0.0028881032485514,ascending,0.7906453879703788,0.5731958762886598
ret_std_ma10,buy,0.4886754249684337,-0.0334211537273763,0.2254527956247329,0.0022058042231947,ascending,0.9245985772746128,0.4783505154639175
r_1030_1130_ma10,sell,0.4880283792537949,0.0849106520764685,0.0362556353211402,0.0036325675901025,strict_ascending,1.0,0.5391752577319588
ret_auto_corr_ma20,buy,0.4864677658412154,0.0397926004556487,0.1807117611169815,0.0032346937805414,none,0.0,0.5144329896907216
ex_ret_ma5,sell,0.4855062263565469,0.2376428056142011,-0.1614377945661544,0.0031614687759429,ascending,0.8139439911303882,0.6061855670103093
r_925_945_ma60,buy,0.4779190778546305,0.0476784668826101,0.2646949589252472,0.0017955984221771,none,0.0,0.511340206185567
ret_std_down_ma3,sell,0.47196861336671286,0.2397719564167503,0.0882920026779174,0.0011123528238385,none,0.0,0.6
ex_ret_ma1,sell,0.4715454392614434,0.2908595954155703,-0.1121461912989616,0.0021614246070384,none,0.0,0.6443298969072164
r_pc_925_ma1,buy,0.470117122839363,0.0008417710780187,0.1403339952230453,0.0034474972635507,ascending,0.7769689804145893,0.5072164948453608
amt_std_ma2,sell,0.46921687105001475,0.1146635212677613,0.009007615968585,0.0019763687159866,strict_ascending,1.0,0.5371134020618558
lowest_ret_ma3,buy,0.4681204618172937,0.1127400515627561,0.2283310741186142,0.0009303162805736,none,0.0,0.5381443298969072
r_1500_1400_ma5,sell,0.46709202489175733,0.0993983448514389,0.0821032375097274,0.0046571716666221,none,0.0,0.5484536082474227
vwat_ma2,buy,0.46705771370247195,0.2039503150473281,0.067746452987194,0.0019292924553155,none,0.0,0.5938144329896907
cora1_ma60,sell,0.46704273230284027,0.1689060440281434,0.0536635406315326,0.0028459189925342,none,0.0,0.5731958762886598
range_ma5,sell,0.46530493724339234,0.1246968264865888,-0.004227147437632,0.003393298946321,ascending,0.9046611616611892,0.568041237113402
r_1430_1500_ma10,sell,0.46301327271760945,0.0766057980898397,0.0697100311517715,0.0035957652144134,ascending,0.8944128169256663,0.5247422680412372
r_1430_1500_ma3,sell,0.46282347519436,0.1099215887320779,0.0983600616455078,0.0043003517203032,none,0.0,0.5402061855670104
ret_std_ma20,buy,0.46278308339658536,0.0148695162880394,0.2352444678544998,0.0021459541749209,none,0.0,0.4979381443298969
r_925_1000_ma60,buy,0.4624376200162155,0.0378238030691271,0.2600656151771545,0.0012174277799203,none,0.0,0.5123711340206185
r_1500_1400_ma2,sell,0.46031339602162047,0.127740402677177,0.11955177038908,0.0031141713261604,none,0.0,0.5567010309278351
corr_mean2_ma2,buy,0.46026094611741925,0.0468429374531053,0.0276384484022855,0.0036628362722694,strict_ascending,1.0,0.5051546391752577
vwat_ma20,sell,0.4588642193537803,0.0585585235588906,0.1636289060115814,0.0027330578304827,none,0.0,0.5268041237113402
inflow_r_ma60,sell,0.45852518352957455,0.1193220633931091,0.1631177514791488,0.0010623859707266,none,0.0,0.5670103092783505
r_1445_1500_ma2,sell,0.4580436242474639,0.1450721842273888,0.1132845878601074,0.0032696321140974,none,0.0,0.5412371134020619
highest_ret_ma60,buy,0.4565465815539001,-0.0111978772355933,0.2226745039224624,0.0019218943780288,none,0.0,0.488659793814433
r_1430_1500_ma5,sell,0.4561406093051335,0.0965906668301135,0.0798967778682708,0.0045551322400569,none,0.0,0.5350515463917527
ret_tstat_ma60,buy,0.45285525530166854,0.0472902315572672,0.2121272832155227,0.0007926456164568,none,0.0,0.522680412371134
amt_diff_std_ma1,sell,0.45159387766338716,0.0958139020280842,0.042291235178709,0.0018636252498254,strict_ascending,1.0,0.5288659793814433
